headline,label
টাঙ্গাইলে ছাত্রী হেনস্থায় শিক্ষকের জেল,1
কামারখন্দে মাদ্রাসাছাত্রী অপহরণের চেষ্টা,1
আফগান দাপটে পাত্তাই পেল না বাংলাদেশ,1
বাহাদুরাবাদ ইউনিয়নে আ.লীগ প্রার্থী জয়ী,1
৫ লাখ টাকার বার্মিজ সিগারেটসহ রোহিঙ্গা আটক,1
একটি মানুষকেও বঞ্চনার শিকার হতে দেয়া যাবে না,1
মাদারীপুরে দুই পক্ষের সংঘর্ষে পুলিশসহ আহত ১৫,1
লাখাই ও বাহুবলে পেট্রোল বোমাসহ বিস্ফোরক দ্রব্য উদ্ধার,1
প্রিন্স মুসার বিরুদ্ধে প্রতিবেদন ২৪ অক্টোবর,1
সিনহার বই পরাজিত লোকের হা-হুতাশ,1
ঝিনাইদহে খাল সংস্কারে কৃষকদের স্বেচ্ছাশ্রম,1
কটূক্তি : খালেদার বিরুদ্ধে গ্রেফতারি পরোয়ানার আদেশ ১১ অক্টোবর,1
পটুয়াখালীতে ছাত্রলীগের দুই গ্রুপের সংঘর্ষে আহত ১০,1
প্যানেল মেয়র ওসমান গণির মৃতদেহ দেশে আসছে আজ,1
বরিশালে নবজাতক ও নারী স্বাস্থ্য কর্মকর্তার মৃতদেহ উদ্ধার,1
নাটোরে ভেজাল গুড় তৈরির দায়ে ৫ জনকে জরিমানা,1
উদ্বোধনের অপেক্ষায় বঙ্গবন্ধু হাইটেক পার্ক রেলস্টেশন,1
গুলিবিদ্ধ মাদক বিক্রেতা গ্রেফতার,1
মাদকবিরোধী অভিযানে রাজধানীতে গ্রেফতার ৪৭,1
চাকরিতে প্রবেশের বয়সসীমা ৩৫ বছর দ্রুত বাস্তবায়নের দাবি,1
নারায়ণগঞ্জে ২ তরুণের মরদেহ উদ্ধার,1
ঐক্যের সঙ্গে না থাকলে নিশ্চিহ্ন হয়ে যাবেন: নজরুল,1
নিউইয়র্কের পথে লন্ডন পৌঁছেছেন প্রধানমন্ত্রী,1
দূষণে বিপর্যস্ত পাবনার ইছামতি নদী,1
চা শিল্পের আধুনিকায়নে সমন্বয় ও মহাপরিকল্পনা জরুরি,1
ধর্ষণ মামলা তুলে নিতে কলেজছাত্রীকে মারধর,1
রাজশাহীতে ই-ট্রাফিক প্রসিকিউশন চালু,1
যশোরে ‘বন্দুকযুদ্ধে’ নিহত ১,1
ব্যক্তিগত গাড়ি নিয়ন্ত্রণে উদ্যোগ নেয়ার ঘোষণা খোকনের,1
ফতুল্লায় স্কুলছাত্রী হত্যা মামলার আসামি দুবাইয়ে গ্রেফতার,1
গ্রাহকের টাকা নিয়ে লাপাত্তা পল্লী প্রগতি ফাউন্ডেশন,1
রোনালদোর লাল কার্ডে রেফারিকে সাহায্য করতে পারত ভিএআর,1
নৌকা ভাসতে ভাসতে বিজয়ের বন্দরে পৌঁছবে : ভূমিমন্ত্রী,1
আমি নিশ্চিত এবার জাতীয় পার্টি ক্ষমতায় যাবে: এরশাদ,1
সংসদে ডিজিটাল নিরাপত্তা আইন পাস,1
বরিশাল রুটে সপ্তাহে চলবে বিমানের ৭টি ফ্লাইট,1
নারায়ণগঞ্জে ভুল চিকিৎসায় নবজাতক ও প্রসূতির মৃত্যুর অভিযোগ,1
"অটোভ্যানকে ধাক্কা দিয়ে খাদে ইউএনও’র গাড়ি, আহত ৪",1
স্ত্রীর মামলায় জাতিসংঘ কর্মকর্তা কারাগারে,1
সড়কে চলাচলের সময় সৃষ্টিকর্তাকে স্মরণ করা জরুরি,1
"৩২টি মসজিদ, মাদ্রাসা ও এতিমখানার সরকারি চাল গেল কোথায়?",1
জগাখিচুড়ির ঐক্য তাসের ঘরের মতো ভেঙে পড়বে,1
মঙ্গলবার প্রেসক্লাবের সামনে সমাবেশ ডেকেছে ‘আসল বিএনপি’,1
আমি ওসমান পরিবারের সবচেয়ে খারাপ ছেলে : সেলিম ওসমান,1
কালীগঞ্জে পানিতে ডুবে শিশুর মৃত্যু,1
খাবার ও আবাস সংকটে লোকালয়ে হানা দিচ্ছে বানর,1
বেনাপোলে স্বর্ণের বারসহ এক পাচারকারীকে আটক,1
‘বিএনপি একটি ইস্ট ইন্ডিয়া কোম্পানি’,1
বাড়ছে পাটকাঠির জনপ্রিয়তা,1
জাতীয় ঐক্যের পাঁচমিশালি নেতৃত্বে জনগণের আস্থা নেই,1
কম্পিউটার ব্যবসার আড়ালে মোবাইলে পর্ন ছবি আপলোড,1
"ফেসবুকে প্রেম, প্রিয়ার ফ্ল্যাটে গিয়ে প্রেমিকের কান্না",1
হঠাৎ খালে ভেঙে পড়লো সেতু,1
মহিলা আ.লীগ নেত্রীর অবৈধ স্থাপনা উচ্ছেদ,1
বাংলাদেশের পাসপোর্টে রোহিঙ্গাদের বিদেশ যাওয়ার সুযোগ নেই,1
চাঁপাইনবাবগঞ্জে ট্রাক্টর বিবাদে একজনকে পিটিয়ে হত্যা,1
বিদেশে কর্মরত দুই বিএনপিকর্মীর বিরুদ্ধে পুলিশের নাশকতার পরিকল্পনার মামলা,1
নওগাঁ আদিবাসীদের কারাম উৎসব পালিত,1
স্কুলছাত্রীকে কুপিয়ে জখমের ঘটনায় মফিজুল গ্রেফতার,1
নাটোরে ২ ছাত্রলীগ নেতাকে কুপিয়েছে সন্ত্রাসীরা,1
খুলনা মহানগর স্বেচ্ছাসেবক দলের কমিটি ঘোষণা,1
উন্নয়নের বার্তা জনগণের কাছে তুলে ধরার আহ্বান স্পিকারের,1
"খালেদার মামলায় রায়ের আবেদন, আদেশ ৩০ সেপ্টেম্বর",1
ডিজিটাল নিরাপত্তা আইন পুনঃসংশোধনের দাবি সুজনের,1
অযোগ্যদের দিয়ে গাইবান্ধা জেলা বিএনপির কমিটি দেওয়ার অভিযোগ,1
সিরাজগঞ্জে হাতকড়াসহ জামায়াত নেতা ছিনতাই,1
"ড. কামাল হোসেনের নেতৃত্বে বৃহত্তর জাতীয় ঐক্য চায় বিএনপি ২০ সেপ্টেম্বর, ২০১৮ ১১:২৬",1
ঝালকাঠির সড়ক বিভাগের কোটি টাকা ব্যয়ে ২টি মেঘা প্রকল্পের কাজ চলছে,1
রাজধানীতে মোটরসাইকেলের ধাক্কায় নারী নিহত,1
"বগুড়া ও নারায়ণগঞ্জে পেট্রল বোমা-ককটেল বিস্ফোরণ, আহত ৩",1
পঞ্চগড়ে বিদ্যুৎস্পৃষ্ট হয়ে যুবকের মৃত্যু,1
সারাদেশে ৪ হাজার ৮৮৩ কিশোর-কিশোরী ক্লাব উদ্বোধন,1
ইয়াকুব আলী হত্যা মামলায় একজনকে ফাঁসির আদেশ,1
মাদারীপুরে গোলাগুলিতে নিহত ১,1
তামিমের চোটের খবর নিতে প্রধানমন্ত্রীর ফোন,1
সময় এসেছে স্বাধীনতা বিরোধীদের নির্বাসনে পাঠানোর,1
খালেদাসহ ১১ জনের বিরুদ্ধে অভিযোগ গঠন ২৫ অক্টোবর,1
পবিত্র আশুরা আজ,1
গাজীপুরে ফ্যান কারখানায় বিস্ফোরণে নিহত ৩,1
মালয়েশিয়ায় অভিযানে ৫৫ বাংলাদেশি আটক,1
দুই ঘণ্টা পানির নিচে ‘মৎস্যমানব’ মিজান,1
রাসিকের দায়িত্ব নিলেন নতুন মেয়র লিটন,1
"সিনহার বই বের হবে, জানতেন ড. কামাল",1
‘তত্ত্বাবধায়ক সরকার’ গঠনের নির্দেশনা চেয়ে রিট,1
চাকরিরত অবস্থায় মৃত্যু : মওকুফ হবে সরকারি কর্মকর্তাদের গাড়ি ঋণ,1
বিএনপির শতাধিক আইনজীবীর আগাম জামিন,1
‘আওয়ামী লীগকে ক্ষমতায় এনেছি আমি তবুও এই বুকে অনেক ব্যথা’,1
"সিদ্ধিরগঞ্জে লেগুনায় বাসের ধাক্কা, ইডেন কলেজের ছাত্রী নিহত",1
খুলনা সিএস কার্যালয় ও জেনারেল হাসপাতালে দুদকের অভিযান,1
গাজীপুরে জাতীয় পার্টির নেতার গাড়িবহরে হামলার অভিযোগ,1
কোটালীপাড়ায় ইউপি মেম্বারের বিরুদ্ধে ভাতার টাকা আত্মসাতের অভিযোগ,1
বরিশালে শিক্ষকদের বিক্ষোভ মিছিল,1
ইউটিউবে রাষ্ট্রবিরোধী প্রচারণায় আটক ২,1
সরকারি ব্যয়ে হজ পালনে ধর্মমন্ত্রীর জেলা শীর্ষে,1
পবিত্র আশুরা শুক্রবার,1
৫ ঘণ্টা পর ঢাকা-চট্টগ্রাম-সিলেট রুটে ট্রেন চলাচল শুরু,1
তাদের কান্নায় কাঁদলেন সবাই,1
নিখোঁজের পরদিন মিলল শিশুর মরদেহ,1
ধাক্কার পর চাপা দিলো ট্রাক,1
ঢাকায় পৌঁছেছে প্যানেল মেয়র ওসমান গণির মরদেহ,1
ফেনীতে নির্মাণাধীন সেতুর পিলারে ফাটল,1
যেকোনো আন্দোলনে জাতীয় ঐক্য প্রক্রিয়ার সাথে থাকবে বিএনপি,1
এক মাছের পেটে মিলল ৬১৪ পিস ইয়াবা,1
আড়াইহাজারে স্ত্রীকে শ্বাসরোধে হত্যার অভিযোগ,1
ইভিএমের পক্ষে নই: এরশাদ,1
"হিজলায় বজ্রাঘাতে গৃহবধূর মৃত্যু, স্বামী আহত",1
কসবায় বজ্রপাতে একজনের মৃত্যু,1
ভাইয়ের পেটে ছুরি ঢুকিয়ে দিলেন ভাই,1
"বঙ্গোপসাগরে ঝড়ের কবলে ১৫ ট্রলার ডুবি, শতাধিক জেলে নিখোঁজ",1
‘বিএনপি নির্বাচনে গেলে আ. লীগের অস্তিত্ব থাকবে না’,1
এমপি নুরুল ইসলাম ওমর বিরোধীদলীয় প্রধান হুইপ,1
চুপচাপ জামায়াত,1
দেবীগঞ্জে আগুনে পুড়লো ২৪ বসতঘর,1
এশিয়ার সুপ্রিম অডিট ইনস্টিটিউশনের পর্ষদ সদস্য হলো বাংলাদেশ,1
২৬ ঘণ্টা পর চালু হলো বগুড়া-সান্তাহার রুটে ট্রেন চলাচল,1
সোনাইমুড়িতে বৃদ্ধের মৃতদেহ উদ্ধার,1
গুলশানে কিশোরী ধর্ষণের অভিযোগে গ্রেফতার ১,1
"জাতীয় ঐক্য নয়, জগাখিচুড়ি ঐক্য : কাদের",1
বজ্রাঘাতে চা বাগানের ৩ নারী শ্রমিকসহ আহত ৪,1
আওয়ামী লীগের কাছেও প্রতারিত হয়েছি: এরশাদ,1
যশোর-লক্ষ্মীপুরের অনেক সড়ক পাকা হয়নি,1
সরকারি হাসপাতাল ও পরিবহনে জ্যেষ্ঠ নাগরিকদের সুবিধা বাড়ানোর দাবি,1
ধর্ষণের পর মাথা কেটে নিয়ে গেল ধর্ষণকারীরা,1
নড়িয়ায় পদ্মার ভাঙনে স্বাস্থ্য কমপ্লেক্সে ফাটল,1
পঞ্চগড়ে পার্টি অফিস থেকে চা দোকান সর্বত্রই নির্বাচনি আলাপ,1
রাজশাহীতে র‍্যাবের অভিযানে অস্ত্রের চালান আটক,1
মহাসড়ক যেন বালুর মাঠ,1
এবার বাগেরহাটে ৬০৮ মণ্ডপে দুর্গোৎসব,1
শেখ হাসিনার অধীনে কোনও নির্বাচন নয়,1
রাজশাহীতে র‌্যাবের সঙ্গে বন্দুকযুদ্ধে ‘মাদক ব্যবসায়ী’ নিহত,1
বকেয়া ভাতার দাবিতে ইন্টার্ন চিকিৎসকদের কর্মবিরতি,1
শাহ আমানতে বিমান ওঠানামা বন্ধ,1
খালেদা জিয়ার অনুপস্থিতিতে বিচারকার্য চলবে,1
অাওয়ামী লীগকে ক্ষমতার বাইরে রাখা যাবে না : হানিফ,1
রাজশাহীতে ছিনতাই মামলায় গ্রেফতার ১,1
"১৮টি ককটেল ও পেট্রোল বোমা উদ্ধার, দুই জামায়াতকর্মী আটক",1
সখীপুরে চোখ-মুখ বাঁধা নারীর লাশ উদ্ধার,1
কুমিল্লায় পৃথক সড়ক দুর্ঘটনায় দুইজন নিহত,1
কাজিপুরে অজ্ঞাত মহিলার লাশ উদ্ধার,1
ঝিনাইদহে বিএনপি-জামায়াতের ১৩ কর্মীসহ গ্রেফতার ৭৪,1
শহিদুল আলমের ডিভিশন আপিলে বহাল,1
বোয়ালমারীতে প্রতিপক্ষের গুলিতে নিহত ১,1
চুয়াডাঙ্গায় বজ্রপাতে প্রাণ গেল দুইজনের,1
এমপি মোকতাদিরের সমালোচনায় আওয়ামী লীগ নেতারা,1
ছোট ভাইকে হত্যার অভিযোগে বড় ভাই গ্রেফতার,1
দেশের বিভিন্ন স্থানে পালিত হয়েছে তথ্য অধিকার দিবস,1
খালেদার বিচার ব্যাহত করতে ষড়যন্ত্র চলছে: দুদক আইনজীবী,1
বরিশালে আওয়ামী লীগ নেতাকে কুপিয়ে জখম,1
দেশে শিগগিরই অনেক পরিবর্তন হবে: মওদুদ,1
তিন বছরেও শেষ হয়নি হোসনি দালানে বোমা হামলার বিচার,1
ব্যক্তিগত গাড়ি নিয়ন্ত্রণে আলোচনা হবে : সাঈদ খোকন,1
নৌকা থেকে পড়ে প্রাণ গেল পলাশের,1
লাইটারেজ জাহাজডুবিতে নিখোঁজ ২,1
গাইবান্ধায় ৩ জনের লাশ উদ্ধার,1
রংপুরে জেলা পরিষদ চেয়ারম্যানের হাতে নারী সদস্য লাঞ্ছিত,1
আলোকচিত্রী শহিদুলের জামিন শুনানি কার্যতালিকায়,1
রায়কে ঘিরে পুরান ঢাকায় কড়া নিরাপত্তা,1
বগুড়ায় বাসের ছাদ থেকে ব্যবসায়ীর লাশ উদ্ধার,1
নেত্রকোণায় কৃষক হত্যা মামলায় ৪ আসামির যাবজ্জীবন কারাদণ্ড,1
"ডাকাত দেখে চিৎকার দিল প্রবাসীর স্ত্রী, অতঃপর...",1
নাটোরে ভ্যানচালকের মরদেহ উদ্ধার,1
"আ.লীগের শুভেচ্ছা মিছিলে পুলিশের বাধা, সংঘর্ষে আহত ২০",1
বেনাপোলে ৪৭ হাজার ভারতীয় যৌন উত্তেজক ট্যাবলেট জব্দ,1
বেনাপোলে ৩টি সোনার বারসহ আটক ১,1
‘বাংলাদেশের সাফল্য থেকে অন্যান্য দেশ শিক্ষা নিতে পারে’,1
"আইনের কথা ভুলে যান, এখন খালেদার মুক্তির একমাত্র পথ হলো রাজপথ: মওদুদ",1
সিনহার অ্যাকাউন্টে টাকা : ৬ ব্যাংক কর্মকর্তাকে তলব,1
বাড়িতে ডেকে এনে বিবস্ত্র অবস্থায় ছবি তুলতো তারা,1
স্ত্রীকে হত্যার পর থানায় হাজির স্বামী,1
"শাহ আমানত স্বাভাবিক, বাসে করে কক্সবাজারে ২৬ যাত্রী",1
"রাজনীতির বিবাদ মেটাতে জাতিসংঘ কী করতে পারে, কী বলছেন বিশ্লেষকরা",1
পদ্মা সেতুর নামকরণ হবে শেখ হাসিনার নামে:,1
‘রোনালদোর লাল কার্ডের পর নিজেদের প্রমাণ করেছে ইউভেন্তুস’,1
উত্তরায় বাড়ির কেয়ারটেকারকে হত্যা,1
তবুও শরীয়তপুরে বন্ধ হচ্ছে না ড্রেজার,1
দুই মণ গাঁজাসহ ৩ মাদক ব্যবসায়ী গ্রেফতার,1
শরীয়তপুরে বিএনপির ২৯ নেতাকর্মী কারাগারে,1
কিশোরগঞ্জ-ময়মনসিংহ সড়কের ডাউকিয়ায় দুর্ঘটনায় নিহত ৩,1
নোয়াখালীতে যুবককে কুপিয়ে হত্যা,1
খুলনায় শিক্ষার্থীদের পাশে সাবেক ছাত্রনেতা বকুল,1
চিকিৎসা বিষয়ে খালেদার রিটের শুনানি ১ অক্টোবর,1
বাদুরের অভয়াশ্রম গড়ে তোলা হচ্ছে সৈয়দপুরের ভগত,1
সাতক্ষীরায় জামায়াত নেতা গ্রেফতার,1
নরসিংদীতে নৌকাডুবে ভাই-বোনসহ তিনজনের মৃত্যু,1
কমলগঞ্জে জলপ্রপাতে ডুবে বিশ্ববিদ্যালয় শিক্ষার্থীর মৃত্যু,1
বেনাপোলে চতুর্থ দিনের মতো বন্ধ আমদানি-রপ্তানি,1
সাঁওতাল বিদ্রোহ না হলে আমাদের স্বাধীনতা আসত না : গওহর রিজভী,1
পাবনায় আ.লীগের দুই গ্রুপের সংঘর্ষে গুলিবিদ্ধসহ আহত ৭,1
"‘বাংলাদেশ যে উন্নয়নের পথে হাঁটছে, সে পথ যেন নিস্তব্ধ না হয়’",1
লবণ মজুত করলেই কঠোর ব্যবস্থা : শিল্পমন্ত্রী,1
"কাশিয়ানীতে ট্রাকচাপায় নিহত ১, আহত ১",1
জোড়া লাগানো দুই শিশুর হৃৎপিণ্ড একটি,1
পুলিশের জন্য ভারত থেকে আনা হলো প্রশিক্ষণপ্রাপ্ত ঘোড়া,1
সামাজিক বনায়নের কোটি টাকার গাছ ১৫ লাখ টাকায় বিক্রি,1
ইছামতী নদীতে অভিযানের সময় প্রণোদনা দেয়ার দাবি জেলেদের,1
‘খালেদা জিয়াকে কারাবন্দি রেখে নির্বাচন নয়’,1
বগি লাইনচ্যুত হয়ে ঢাকা-ময়মনসিংহ ট্রেন বন্ধ,1
জামায়াতের সঙ্গ ত্যাগের দাবি ‘উপভোগ’ করছে বিএনপি,1
শাহজালালে ইয়াবাসহ যাত্রী আটক,1
ডিজিটাল নিরাপত্তা আইন নিয়ে সমালোচনা দুঃখজনক',1
"রশিদের ‘স্পেশাল দিন, স্পেশাল পারফরম্যান্স’",1
হবিগঞ্জে দুর্গা প্রতিমায় শেষ মুহূর্তের তুলির আঁচড়,1
নবীনগরে দুপক্ষের সংষর্ঘে আহত ৫,1
রংপুরে আবর্জনার কারণে ছড়াচ্ছে নানা রোগব্যাধি,1
শ্রেণিকক্ষ সঙ্কটে ব্যাহত হচ্ছে পাঠদান,1
টয়লেটের ট্যাংকি থেকে উদ্ধার করা নবজাতকটি ভালো আছে,1
পোষ্য হাতির আতঙ্ক,1
হাতিরঝিল মামলা : ৭ বিএনপি নেতার আগাম জামিন,1
ফেনীতে যুবকের মরদেহ উদ্ধার,1
"বাসচাপায় মোটরসাইকেল আরোহীর মৃত্যু, আহত ৩৮",1
গারো মা-মেয়ে হত্যায় প্রতিবেদন পিছিয়েছে,1
ডিজিটাল নিরাপত্তা আইন : ২৯ সেপ্টেম্বর মানববন্ধনের ঘোষণা সম্পাদক পরিষদের,1
৭৩তম অধিবেশনে যোগ দিতে নিউ ইয়র্কের পথে প্রধানমন্ত্রী,1
আইনগত ভিত্তি পেলেই ইভিএম ব্যবহার,1
বেনাপোল স্থল বন্দরে বন্ধ আমদানি-রপ্তানি কার্যক্রম,1
ইন্টারনেট সংযোগ নিয়ে দ্বন্দ্বে রাবিতে শিক্ষার্থীর কক্ষে ছাত্রলীগের ভাঙচুর,1
ঘরে মুরগির বাচ্চা প্রবেশ করায় ভাইকে হত্যা,1
"মহালছড়িতে বেইলি ব্রিজ ধসে পাথরবোঝাই ট্রাক নদীতে, শ্রমিক নিখোঁজ",1
দেশে ফিরেছেন লক্ষাধিক হাজি,1
পদ্মার পেটে গেল আরও ৪টি ভবন,1
আগামী নির্বাচনে আ. লীগের বিজয়ের বিকল্প নেই,1
কলেজছাত্র গৌতম হত্যা মামলায় চার আসামিকে মৃত্যুদণ্ড,1
নরসিংদীতে বাসচাপায় মা-ছেলে নিহত,1
বগুড়ার শেরপুরে বনবিভাগের চেক বিতরণ,1
বগুড়ায় অস্ত্র ও ইয়াবাসহ দম্পতি গ্রেফতার,1
মেহেরপুরে বিআরটিএ অফিসে গ্রাহকের ভোগান্তি,1
বিমানে জনবল কাঠামো অনুমোদনে নীতিগত সিদ্ধান্ত,1
‘কোনো ধরনের ত্রুটি থাকলে ইভিএম ব্যবহার করা হবে না’,1
কুষ্টিয়ার নাশকতা মামলায় মৃত ও হজে থাকা ব্যক্তিদের নাম,1
নাজিরপুরে নির্বাচনি গণসংযোগ করলেন শ ম রেজাউল করিম,1
কালীগঞ্জ পৌরসভা মেয়র মকছেদ আলী মারা গেছেন,1
"রাজধানীর খিলক্ষেতে স্ত্রী খুন, স্বামী পলাতক",1
মেহেরপুরে শিক্ষকদের অনুপস্থিতির কারণে ব্যাহত হচ্ছে পাঠদান,1
সরকারি জমিতে ভবন নির্মাণের অভিযোগ,1
সংস্কারবাদীদের দুর্নীতির তথ্য প্রকাশ করায় দুই কর্মীকে হত্যা: ইউপিডিএফ,1
আমিরাতকে উড়িয়ে টানা তৃতীয় জয় বাংলাদেশের মেয়েদের,1
১৭ বছর কারাবাসের পর মুক্তি পেলেন বিপ্লব,1
ফেইসবুককে ইউরোপে নিষেধাজ্ঞার হুমকি,1
প্রধানমন্ত্রীকে কটূক্তি করায় চবি শিক্ষক কারাগারে,1
"তহশিলদারকে মারধর, বিএনপি নেতাসহ গ্রেফতার ২",1
রূপগঞ্জে কাভার্ডভ্যানের চাকায় পিষ্ট হয়ে যুবকের মৃত্যু,1
ফটিকছড়িতে খাল থেকে যুবকের মরদেহ উদ্ধার,1
সাতক্ষীরায় মদ পান করে যুবকের মৃত্যু,1
রাজশাহীতে সড়ক দুর্ঘটনায় নিহত ৩,1
‘আমাকে হাসপাতালে নেওয়া হচ্ছে না কেন?’,1
"কালীগঞ্জে অবৈধ মোটরযানের বিরুদ্ধে অভিযান, ৩৩ মামলা",1
থামছে না পদ্মার ভাঙন,1
তিতাসের ৫ কর্মকর্তার দেশ ত্যাগে নিষেধাজ্ঞা,1
বিভিন্ন জেলায় সড়ক দুর্ঘটনায় নিহত ১১,1
জামালপুরের কুটামনি থেকে বিনন্দিরপাড়া পর্যন্ত রাস্তার বেহাল দশা,1
জাতীয় পার্টির ১০০ আসনের তালিকা চূড়ান্ত,1
উত্তরাঞ্চলের ১৬ জেলায় কর্মবিরতির ঘোষণা ট্রাক শ্রমিকদের,1
বেনাপোল সীমান্তে বিজিবির অভিযান,1
বাবু সোনা হত্যা মামলা জেলা ও দায়রা জজ আদালতে বদলি,1
রাজনীতির মাঠে আ.লীগের নেতৃত্বাধীন ১৪ দলীয় জোট কতোটা শক্তিশালী,1
হিলিতে বিজিবির নজরদারির পরও ভারতে ইলিশ পাচার,1
কোটা বাতিলের সুপারিশে প্রধানমন্ত্রীর অনুমোদন,1
পাহাড় খুঁড়ে পাথর তোলার সময় গ্রেফতার ১৬,1
দেশে ফিরলেন ড. কামাল হোসেন,1
প্রধানমন্ত্রীকে আল্লামা শফীর অভিনন্দন,1
প্রধানমন্ত্রী শেখ হাসিনাকে আহমদ শফীর অভিনন্দন,1
উদ্বোধনের অপেক্ষায় গাজীপুর-আজমতপুর-ইটাখোলা মহাসড়কের শীতলক্ষ্যা সেতু,1
ডিএনসিসি’র প্যানেল মেয়র মারা গেছেন,1
বাঁচলো না শফিকুল,1
গ্রেনেড হামলার আসামিরা অস্থায়ী আদালতের গারদে,1
২ মামলায় আমির খসরুর আগাম জামিন বহাল,1
বিশ্ব শান্তি দিবসে রাজধানীতে বর্ণাঢ্য র‌্যালি,1
সাবেক উপজেলা চেয়ারম্যানসহ জামায়াতের ১৭ নেতা-কর্মী গ্রেফতার,1
ঢাবিতে ভর্তি হতে পারবেন না নাজমুল?,1
ভাসমান বীজতলায় কৃষকদের মাঝে ব্যাপক সাড়া,1
একটি কিডনি সারাতে গিয়ে আরেকটি গায়েব!,1
বেগম জিয়ার প্রতি সরকারের আচরণ শত্রুতামূলক',1
দিনাজপুরে আওয়ামী লীগের মনোনয়নপ্রত্যাশীদের পোস্টার ছেঁড়ার অভিযোগ,1
আফগান হতাশা ভুলে ভারত জয়ের আশা,1
রাবিতে মাদক ব্যবসায়ী সন্দেহে যুবককে মারধর,1
কারো চাপে ইভিএম ব্যবহারের সিদ্ধান্ত নেবে না কমিশন',1
আশকোনায় জঙ্গি আস্তানা : প্রতিবেদন ৪ নভেম্বর,1
আতিথেয়তায় মুগ্ধ নেপালি নারী মালতি,1
পল্লী সঞ্চয় ব্যাংকের ১৪ লাখ টাকা নিয়ে উধাও রেজাউল,1
এরশাদের জোটে আস্থা নেই ধর্মভিত্তিক দলগুলোর,1
মানুষের প্রত্যাশা পূরণ হয়নি: ইলিয়াস কাঞ্চন,1
টেকনাফে ৭২ হাজার ইয়াবাসহ গ্রেফতার ২,1
হিলি দিয়ে ৯ দিন আমদানি-রফতানি বন্ধের ঘোষণা ভারতীয় ব্যবসায়ীদের,1
১৫ ঘণ্টা পর ঢাকা-ময়মনসিংহ রুটে ট্রেন চলাচল স্বাভাবিক,1
সড়ক দুর্ঘটনায় নিহত ৯,1
খালেদার চিকিৎসার নির্দেশনা চেয়ে রিট শুনানি মঙ্গলবার,1
সেনাবাহিনীর তত্ত্বাবধানে ইভিএম ব্যবহারের চিন্তা,1
নওগাঁ জেলা প্রেসক্লাবের নবনির্মিত দ্বিতল ভবন উদ্বোধন,1
টাঙ্গাইলে সড়ক দুর্ঘটনায় রংপুর যুবলীগ সভাপতি নিহত,1
সম্প্রীতি নষ্ট করতে চায় একটি চক্র: জিওসি,1
পৌনে ২ লাখ মেট্রিক টন সার আমদানির সিদ্ধান্ত,1
বগুড়া ও বেনাপোলে শীতের আগাম সবজি চাষ,1
"‘আগামী এক মাসে অনেক কিছুর পরিবর্তন ঘটবে’ ১৮ সেপ্টেম্বর, ২০১৮ ২০:৪২",1
